ID_Cliente,Nombre_Cliente,Apellido_Cliente,Telefono,Email
1,Juan,Pérez,3109876543,juan.perez@email.com
2,Carlos,López,3201234567,carlos.lopez@email.com
3,Pedro,Gómez,3154567890,pedro.gomez@email.com
4,Luis,Ramírez,3127890123,luis.ramirez@email.com
5,Javier,Sánchez,3002345678,javier.sanchez@email.com
6,Daniel,Hernández,3015678901,daniel.hernandez@email.com
7,Felipe,Díaz,3048901234,felipe.diaz@email.com
8,Andrés,Rodríguez,3051234567,andres.rodriguez@email.com
9,Manuel,García,3024567890,manuel.garcia@email.com
10,Alejandro,Martínez,3037890123,alejandro.martinez@email.com
11,David,Flores,3062345678,david.flores@email.com
12,Gabriel,Torres,3085678901,gabriel.torres@email.com
13,María,Gómez,3108901234,maria.gomez@email.com
14,Sebastián,Castro,3151234567,sebastian.castro@email.com
15,José,Ortega,3124567890,jose.ortega@email.com
16,Ricardo,Mora,3007890123,ricardo.mora@email.com
17,Diego,Álvarez,3012345678,diego.alvarez@email.com
18,Mauricio,Vargas,3045678901,mauricio.vargas@email.com
19,Santiago,Jiménez,3058901234,santiago.jimenez@email.com
20,Arturo,Rojas,3021234567,arturo.rojas@email.com
21,Mateo,Moreno,3034567890,mateo.moreno@email.com
22,Nicolás,Navarro,3067890123,nicolas.navarro@email.com
23,Gustavo,Muñoz,3082345678,gustavo.muñoz@email.com
24,Pablo,Guzmán,3105678901,pablo.guzmán@email.com
25,Enrique,Serrano,3158901234,enrique.serrano@email.com
26,Ana,López,3121234567,ana.lopez@email.com
27,Fabio,Cárdenas,3004567890,fabio.cardenas@email.com
28,Guillermo,Correa,3017890123,guillermo.correa@email.com
29,Óscar,Fuentes,3042345678,oscar.fuentes@email.com
30,Gonzalo,Giraldo,3055678901,gonzalo.giraldo@email.com
31,Héctor,Herrera,3028901234,hector.herrera@email.com
32,Iván,Jaramillo,3031234567,ivan.jaramillo@email.com
33,Julio,León,3064567890,julio.leon@email.com
34,Kike,Manrique,3087890123,kike.manrique@email.com
35,Leonardo,Marín,3102345678,leonardo.marin@email.com
36,Mario,Mendoza,3155678901,mario.mendoza@email.com
37,Cristina,Ramírez,3128901234,cristina.ramirez@email.com
38,Miguel,Montero,3001234567,miguel.montero@email.com
39,Óliver,Montoya,3014567890,oliver.montoya@email.com
40,Patricio,Moreno,3047890123,patricio.moreno@email.com
41,Raúl,Múnera,3052345678,raul.munera@email.com
42,Simón,Ochoa,3025678901,simon.ochoa@email.com
43,Tomás,Orozco,3038901234,tomas.orozco@email.com
44,Víctor,Palacios,3061234567,victor.palacios@email.com
45,Wilson,Pardo,3084567890,wilson.pardo@email.com
46,Yair,Páez,3107890123,yair.paez@email.com
47,Adrián,Quintero,3152345678,adrian.quintero@email.com
48,Benjamín,Quiñones,3125678901,benjamin.quiñones@email.com
49,Sofía,Díaz,3008901234,sofia.diaz@email.com
50,Camilo,Reyes,3011234567,camilo.reyes@email.com
51,Cristian,Restrepo,3044567890,cristian.restrepo@email.com
52,Darío,Rico,3057890123,dario.rico@email.com
53,Eduardo,Rivera,3022345678,eduardo.rivera@email.com
54,Emilio,Ríos,3035678901,emilio.rios@email.com
55,Esteban,Rueda,3068901234,esteban.rueda@email.com
56,Fernando,Sáenz,3081234567,fernando.saenz@email.com
